2025-04-13 12:13:50,922 - Training data: 17495 rows
2025-04-13 12:13:57,396 - Training PPO on EURUSD at 2025-04-13 12:13:57.386858+05:30
2025-04-13 12:19:13,553 - Rollout 67584: ep_rew_mean = -0.0110, actions = {0: 1195, 1: 553, 2: 300}, action_pct = {0: 58.349609375, 1: 27.001953125, 2: 14.6484375}
2025-04-13 12:19:26,560 - Rollout 69632: ep_rew_mean = -0.0113, actions = {0: 1128, 1: 563, 2: 357}, action_pct = {0: 55.078125, 1: 27.490234375, 2: 17.431640625}
2025-04-13 12:19:40,179 - Rollout 71680: ep_rew_mean = -0.0007, actions = {0: 1006, 1: 658, 2: 384}, action_pct = {0: 49.12109375, 1: 32.12890625, 2: 18.75}
2025-04-13 12:19:46,151 - Rollout 73728: ep_rew_mean = -0.0222, actions = {0: 1188, 1: 527, 2: 333}, action_pct = {0: 58.0078125, 1: 25.732421875, 2: 16.259765625}
2025-04-13 12:19:51,939 - Rollout 75776: ep_rew_mean = -0.0101, actions = {0: 1238, 1: 460, 2: 350}, action_pct = {0: 60.44921875, 1: 22.4609375, 2: 17.08984375}
2025-04-13 12:19:57,412 - Rollout 77824: ep_rew_mean = 0.0006, actions = {0: 1309, 1: 392, 2: 347}, action_pct = {0: 63.916015625, 1: 19.140625, 2: 16.943359375}
2025-04-13 12:20:02,863 - Rollout 79872: ep_rew_mean = -0.0005, actions = {0: 1259, 1: 411, 2: 378}, action_pct = {0: 61.474609375, 1: 20.068359375, 2: 18.45703125}
2025-04-13 12:20:10,513 - Rollout 81920: ep_rew_mean = 0.0027, actions = {0: 1387, 1: 350, 2: 311}, action_pct = {0: 67.724609375, 1: 17.08984375, 2: 15.185546875}
2025-04-13 12:20:22,098 - Rollout 83968: ep_rew_mean = -0.0024, actions = {0: 1404, 1: 272, 2: 372}, action_pct = {0: 68.5546875, 1: 13.28125, 2: 18.1640625}
2025-04-13 12:20:30,416 - Rollout 86016: ep_rew_mean = -0.0212, actions = {0: 1525, 1: 215, 2: 308}, action_pct = {0: 74.462890625, 1: 10.498046875, 2: 15.0390625}
2025-04-13 12:20:44,597 - Rollout 88064: ep_rew_mean = 0.0017, actions = {0: 1433, 1: 257, 2: 358}, action_pct = {0: 69.970703125, 1: 12.548828125, 2: 17.48046875}
2025-04-13 12:20:57,423 - Rollout 90112: ep_rew_mean = -0.0105, actions = {0: 1431, 1: 330, 2: 287}, action_pct = {0: 69.873046875, 1: 16.11328125, 2: 14.013671875}
2025-04-13 12:21:12,314 - Rollout 92160: ep_rew_mean = -0.0117, actions = {0: 1418, 1: 373, 2: 257}, action_pct = {0: 69.23828125, 1: 18.212890625, 2: 12.548828125}
2025-04-13 12:21:28,267 - Rollout 94208: ep_rew_mean = -0.0092, actions = {0: 1324, 1: 425, 2: 299}, action_pct = {0: 64.6484375, 1: 20.751953125, 2: 14.599609375}
2025-04-13 12:21:45,645 - Rollout 96256: ep_rew_mean = -0.0003, actions = {0: 1207, 1: 478, 2: 363}, action_pct = {0: 58.935546875, 1: 23.33984375, 2: 17.724609375}
2025-04-13 12:21:59,347 - Rollout 98304: ep_rew_mean = -0.0107, actions = {0: 1180, 1: 596, 2: 272}, action_pct = {0: 57.6171875, 1: 29.1015625, 2: 13.28125}
2025-04-13 12:22:13,776 - Rollout 100352: ep_rew_mean = -0.0017, actions = {0: 1120, 1: 657, 2: 271}, action_pct = {0: 54.6875, 1: 32.080078125, 2: 13.232421875}
2025-04-13 12:22:30,148 - Rollout 102400: ep_rew_mean = -0.0096, actions = {0: 1162, 1: 670, 2: 216}, action_pct = {0: 56.73828125, 1: 32.71484375, 2: 10.546875}
2025-04-13 12:22:47,121 - Rollout 104448: ep_rew_mean = -0.0114, actions = {0: 1263, 1: 553, 2: 232}, action_pct = {0: 61.669921875, 1: 27.001953125, 2: 11.328125}
2025-04-13 12:23:16,667 - Rollout 106496: ep_rew_mean = -0.0093, actions = {0: 1231, 1: 602, 2: 215}, action_pct = {0: 60.107421875, 1: 29.39453125, 2: 10.498046875}
2025-04-13 12:23:39,768 - Rollout 108544: ep_rew_mean = -0.0126, actions = {0: 1319, 1: 465, 2: 264}, action_pct = {0: 64.404296875, 1: 22.705078125, 2: 12.890625}
2025-04-13 12:24:20,949 - Rollout 110592: ep_rew_mean = -0.0199, actions = {0: 1210, 1: 542, 2: 296}, action_pct = {0: 59.08203125, 1: 26.46484375, 2: 14.453125}
2025-04-13 12:24:40,676 - Rollout 112640: ep_rew_mean = -0.0004, actions = {0: 1076, 1: 619, 2: 353}, action_pct = {0: 52.5390625, 1: 30.224609375, 2: 17.236328125}
2025-04-13 12:25:12,509 - Rollout 114688: ep_rew_mean = -0.0224, actions = {0: 1029, 1: 736, 2: 283}, action_pct = {0: 50.244140625, 1: 35.9375, 2: 13.818359375}
2025-04-13 12:25:36,108 - Rollout 116736: ep_rew_mean = -0.0002, actions = {0: 1173, 1: 627, 2: 248}, action_pct = {0: 57.275390625, 1: 30.615234375, 2: 12.109375}
2025-04-13 12:26:01,837 - Rollout 118784: ep_rew_mean = -0.0081, actions = {0: 1349, 1: 500, 2: 199}, action_pct = {0: 65.869140625, 1: 24.4140625, 2: 9.716796875}
2025-04-13 12:26:31,503 - Rollout 120832: ep_rew_mean = -0.0007, actions = {0: 1386, 1: 453, 2: 209}, action_pct = {0: 67.67578125, 1: 22.119140625, 2: 10.205078125}
