2025-04-12 08:33:27,939 - Rollout 104448: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:33:34,688 - Rollout 106496: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:33:41,089 - Rollout 108544: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:33:48,208 - Rollout 110592: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:33:54,608 - Rollout 112640: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 0, 2: 2}
2025-04-12 08:34:02,029 - Rollout 114688: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:34:12,152 - Rollout 116736: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 0, 2: 2}
2025-04-12 08:34:21,088 - Rollout 118784: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:34:29,282 - Rollout 120832: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:34:36,717 - Rollout 122880: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:34:44,588 - Rollout 124928: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:34:51,143 - Rollout 126976: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:34:57,322 - Rollout 129024: ep_rew_mean = 0.0451, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:35:03,507 - Rollout 131072: ep_rew_mean = 0.0497, actions = {0: 2042, 1: 3, 2: 3}
2025-04-12 08:35:09,847 - Rollout 133120: ep_rew_mean = 0.0498, actions = {0: 2046, 1: 0, 2: 2}
2025-04-12 08:35:16,348 - Rollout 135168: ep_rew_mean = 0.0500, actions = {0: 2046, 1: 0, 2: 2}
2025-04-12 08:35:22,532 - Rollout 137216: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:35:28,467 - Rollout 139264: ep_rew_mean = 0.0496, actions = {0: 2042, 1: 0, 2: 6}
2025-04-12 08:35:34,797 - Rollout 141312: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:35:41,339 - Rollout 143360: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:35:47,618 - Rollout 145408: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:35:54,216 - Rollout 147456: ep_rew_mean = 0.0499, actions = {0: 2044, 1: 1, 2: 3}
